;;4;;8;
IN;OUT;IN;OUT;IN;OUT
324,3000000000;20,0000000000;1297,2;80;2594,4;160
101,6797621383;19,9054938765;406,7190486;79,62197551;813,4380971;159,243951
48,1662388433;19,6597514911;192,6649554;78,63900596;385,3299107;157,2780119
91,2988760880;19,3588309341;365,1955044;77,43532374;730,3910087;154,8706475
170,2510340561;19,0405428078;681,0041362;76,16217123;1362,008272;152,3243425
261,7537585603;18,7192416125;1047,015034;74,87696645;2094,030068;149,7539329
356,9377579431;18,4003099207;1427,751032;73,60123968;2855,502064;147,2024794
452,4477010508;18,0857099751;1809,790804;72,3428399;3619,581608;144,6856798
547,0344880842;17,7761077311;2188,137952;71,10443092;4376,275905;142,2088618
640,2501102117;17,4716830656;2561,000441;69,88673226;5122,000882;139,7734645
731,0396049729;17,1754042249;2924,15842;68,7016169;5848,31684;137,4032338
821,2040248965;16,8812246483;3284,8161;67,52489859;6569,632199;135,0497972
909,8260636969;16,5920809502;3639,304255;66,3683238;7278,60851;132,7366476
996,9273060982;16,3078862271;3987,709224;65,23154491;7975,418449;130,4630898
1 082,5335648471;16,0285538504;4330,134259;64,1142154;8660,268519;128,2284308
1 166,6714045082;15,7539990157;4666,685618;63,01599606;9333,371236;126,0319921
1 249,3670209378;15,4841390290;4997,468084;61,93655612;9994,936168;123,8731122
1 330,6459522513;15,2188932084;5322,583809;60,87557283;10645,16762;121,7511457
1 410,5330613460;14,9581827062;5642,132245;59,83273082;11284,26449;119,6654616
1 489,0525915477;14,7019303432;5956,210366;58,80772137;11912,42073;117,6154427
1 565,4630493773;14,4525577274;6261,852198;57,81023091;12523,7044;115,6204618
1 641,3310741197;14,2049534326;6565,324296;56,81981373;13130,64859;113,6396275
1 715,9008879099;13,9615853053;6863,603552;55,84634122;13727,2071;111,6926824
1 789,1947842093;13,7223817888;7156,779137;54,88952716;14313,55827;109,7790543
1 861,2346462088;13,4872725815;7444,938585;53,94909033;14889,87717;107,8981807
1 932,0419638057;13,2561885986;7728,167855;53,02475439;15456,33571;106,0495088
2 001,6378468913;13,0290619390;8006,551388;52,11624776;16013,10278;104,2324955
2 070,0430361461;12,8058258562;8280,172145;51,22330342;16560,34429;102,4466068
2 137,2779121633;12,5864147318;8549,111649;50,34565893;17098,2233;100,6913179
2 203,3625034412;12,3707640510;8813,450014;49,4830562;17626,90003;98,96611241
2 267,6724863713;12,1609118216;9070,689945;48,64364729;18141,37989;97,28729457
2 331,5262387069;11,9525567419;9326,104955;47,81022697;18652,20991;95,62045394
2 394,2875603190;11,7477755646;9577,150241;46,99110226;19154,30048;93,98220452
2 455,9751420320;11,5465079568;9823,900568;46,18603183;19647,80114;92,37206365
2 516,6073544969;11,3486945830;10066,42942;45,39477833;20132,85884;90,78955666
2 576,2022538081;11,1542770849;10304,80902;44,61710834;20609,61803;89,23421668
2 634,7775869784;10,9631980632;10539,11035;43,85279225;21078,2207;87,70558451
2 692,3507972820;10,7754010587;10769,40319;43,10160423;21538,80638;86,20320847
2 748,9390294928;10,5908305353;10995,75612;42,36332214;21991,51224;84,72664428
2 804,5591350148;10,4094318617;11218,23654;41,63772745;22436,47308;83,27545489
2 858,6856480514;10,2329188408;11434,74259;40,93167536;22869,48518;81,86335073
2 912,4281791866;10,0576731175;11649,71272;40,23069247;23299,42543;80,46138494
2 965,2512688758;9,8854411318;11861,00508;39,54176453;23722,01015;79,08352905
3 017,1706472100;9,7161717009;12068,68259;38,8646868;24137,36518;77,72937361
3 068,2017751547;9,5498144672;12272,8071;38,19925787;24545,6142;76,39851574
3 118,3598491563;9,3863198838;12473,4394;37,54527954;24946,87879;75,09055907
3 167,6598056685;9,2256392000;12670,63922;36,9025568;25341,27845;73,8051136
3 216,1163256003;9,0677244473;12864,4653;36,27089779;25728,9306;72,54179558
3 263,7438386910;8,9125284260;13054,97535;35,6501137;26109,95071;71,30022741
3 310,5565278050;8,7600046920;13242,22611;35,04001877;26484,45222;70,08003754
3 356,1121342932;8,6115936622;13424,44854;34,44637465;26848,89707;68,8927493
3 401,3445623712;8,4642525336;13605,37825;33,85701013;27210,7565;67,71402027
3 445,8031421787;8,3194492068;13783,21257;33,27779683;27566,42514;66,55559365
