IN_1;IN_2
406.7190485533;79.6219755061
192.6649553732;78.6390059644
365.195504352;77.4353237363
681.0041362244;76.1621712311
1047.0150342414;74.8769664499
1427.7510317724;73.6012396826
1809.7908042032;72.3428399002
2188.1379523367;71.1044309243
2561.0004408468;69.8867322623
2924.1584198916;68.7016168995
3284.8160995859;67.5248985932
3639.3042547877;66.3683238007
3987.7092243929;65.2315449086
4330.1342593883;64.1142154015
4666.6856180326;63.0159960628
4997.4680837511;61.936556116
5322.583809005;60.8755728338
5642.1322453841;59.8327308248
5956.2103661909;58.8077213729
6261.8521975091;57.8102309096
6565.3242964788;56.8198137303
6863.6035516398;55.8463412211
7156.7791368373;54.889527155
7444.9385848351;53.9490903258
7728.1678552228;53.0247543942
8006.5513875652;52.1162477558
8280.1721445844;51.2233034247
8549.1116486531;50.3456589272
8813.450013765;49.483056204
9070.6899454851;48.6436472863
9326.1049548274;47.8102269678
9577.150241276;46.9911022582
9823.9005681279;46.1860318273
10066.4294179876;45.394778332
10304.8090152324;44.6171083398
10539.1103479136;43.8527922527
10769.403189128;43.101604235
10995.756117971;42.3633221412
11218.2365400591;41.637727447
11434.7425922057;40.9316753632
11649.7127167462;40.23069247
11861.0050755031;39.5417645272
12068.68258884;38.8646868035
12272.8071006189;38.1992578688
12473.4393966252;37.5452795352
12670.6392226738;36.9025567999
12864.4653024012;36.270897789
13054.9753547642;35.6501137038
13242.2261112199;35.040018768
13424.4485371727;34.4463746489
13605.378249485;33.8570101345
13783.2125687146;33.2777968271
13958.0044515654;32.7085605158
14129.8059487356;32.1491297713
14298.668220401;31.5993359027
14464.6415514614;31.0590129139
14627.7753665139;30.5279974629
14788.1182445737;30.0061288213
14945.7179335375;29.4932488354
15099.0855244563;28.9941991387
15251.3651008792;28.4987460637
15401.0394366625;28.0118237523
15548.1531027168;27.5332839576
15692.7499074133;27.0629808293
15834.8729096267;26.6007708806
15974.5644315696;26.1465129565
16111.8660713862;25.7000682032
16246.8187155425;25.2613000372
16379.4625510081;24.8300741167
16508.5444370041;24.4104602186
16636.7105924991;23.9938524198
16762.6840435222;23.5843982721
16886.502303176;23.1819720971
17008.2022427665;22.7864503213
17127.8201028069;22.3977114498
17245.391503801;22.0156360411
17360.9514568514;21.6401066829
17474.5343740858;21.2710079667
17586.1740789117;20.908226465
17694.8158652887;20.5551861067
17802.6869238141;20.2046461268
17908.7124892292;19.8600957907
18012.9241345087;19.5214293385
18115.3528924737;19.1885428749
18216.0292650477;18.8613343463
18314.9832323242;18.5397035186
18412.244261505;18.2235519547
18507.8413156723;17.9127829921
18601.8028624163;17.6073017207
18693.2412086719;17.3099924174
18784.0308692658;17.0147581139
18873.267268277;16.7245379535
18960.9769792385;16.439243797
19047.1861210754;16.1587891468
19131.9203658736;15.8830891242
19215.2049465376;15.6120604471
19297.0646642912;15.3456214076
19377.5238960706;15.0836918491
19456.6066017816;14.826193144
19533.5656550367;14.5755583187
19609.9787407768;14.3266490263
19685.0845231482;14.0819443824
19758.9053679252;13.8413716303
19831.4632582694;13.6048594274
19902.7798012479;13.3723378213
19972.8762342994;13.1437382261
20041.773431534;12.9189933994
20109.4919099535;12.698037418
20175.391905786;12.4829597461
