IN;OUT
2594,4;160
813,4380971;159,243951
385,3299107;157,2780119
730,3910087;154,8706475
1362,008272;152,3243425
2094,030068;149,7539329
2855,502064;147,2024794
3619,581608;144,6856798
4376,275905;142,2088618
5122,000882;139,7734645
5848,31684;137,4032338
6569,632199;135,0497972
7278,60851;132,7366476
7975,418449;130,4630898
8660,268519;128,2284308
9333,371236;126,0319921
9994,936168;123,8731122
10645,16762;121,7511457
11284,26449;119,6654616
11912,42073;117,6154427
12523,7044;115,6204618
13130,64859;113,6396275
13727,2071;111,6926824
14313,55827;109,7790543
14889,87717;107,8981807
15456,33571;106,0495088
16013,10278;104,2324955
16560,34429;102,4466068
17098,2233;100,6913179
17626,90003;98,96611241
18141,37989;97,28729457
18652,20991;95,62045394
19154,30048;93,98220452
19647,80114;92,37206365
20132,85884;90,78955666
20609,61803;89,23421668
21078,2207;87,70558451
21538,80638;86,20320847
21991,51224;84,72664428
22436,47308;83,27545489
22869,48518;81,86335073
23299,42543;80,46138494
23722,01015;79,08352905
24137,36518;77,72937361
24545,6142;76,39851574
24946,87879;75,09055907
25341,27845;73,8051136
25728,9306;72,54179558
26109,95071;71,30022741
26484,45222;70,08003754
26848,89707;68,8927493
27210,7565;67,71402027
27566,42514;66,55559365
27916,0089;65,41712103
28259,6119;64,29825954
28597,33644;63,19867181
28929,2831;62,11802583
29255,55073;61,05599493
29576,23649;60,01225764
29891,43587;58,98649767
30198,17105;57,98839828
30502,7302;56,99749213
30802,07887;56,0236475
31096,30621;55,06656792
31385,49981;54,12596166
31669,74582;53,20154176
31949,12886;52,29302591
32223,73214;51,40013641
32493,63743;50,52260007
32758,9251;49,66014823
33017,08887;48,82092044
33273,42118;47,98770484
33525,36809;47,16879654
33773,00461;46,36394419
34016,40449;45,57290064
34255,64021;44,7954229
34490,78301;44,03127208
34721,90291;43,28021337
34949,06875;42,54201593
35172,34816;41,81645293
35389,63173;41,11037221
35605,37385;40,40929225
35817,42498;39,72019158
36025,84827;39,04285868
36230,70578;38,37708575
36432,05853;37,72266869
36629,96646;37,07940704
36824,48852;36,44710391
37015,68263;35,82556598
37203,60572;35,21460344
37386,48242;34,61998483
37568,06174;34,02951623
37746,53454;33,44907591
37921,95396;32,87848759
38094,37224;32,31757829
38263,84073;31,76617825
38430,40989;31,22412089
38594,12933;30,69124282
38755,04779;30,1673837
38913,2132;29,65238629
39067,13131;29,15111664
39219,95748;28,65329805
39370,16905;28,16388876
39517,81074;27,68274326
39662,92652;27,20971885
39805,5596;26,74467564
39945,75247;26,28747645
40083,54686;25,8379868
40218,98382;25,39607484
40350,78381;24,96591949
40481,64878;24,53870509
40610,27486;24,11868942
40736,70036;23,7057507
40860,96293;23,29976953
40983,09957;22,90062887
41103,14665;22,50821397
